name,abbrev,summary,guidance,related_to,nist_type,context,tokens
IDENTIFY,ID,"The Identify Function assists in developing an organizational understanding to managing cybersecurity risk to systems, people, assets, data, and capabilities. Understanding the business context, the resources that support critical functions, and the related cybersecurity risks enables an organization to focus and prioritize its efforts, consistent with its risk management strategy and business needs.",,,Function,"Nist Categorization Type: Function
IDENTIFY (ID)

The Identify Function assists in developing an organizational understanding to managing cybersecurity risk to systems, people, assets, data, and capabilities. Understanding the business context, the resources that support critical functions, and the related cybersecurity risks enables an organization to focus and prioritize its efforts, consistent with its risk management strategy and business needs.",80
PROTECT,PR,The Protect Function outlines appropriate safeguards to ensure delivery of critical infrastructure services. The Protect Function supports the ability to limit or contain the impact of a potential cybersecurity event.,,,Function,"Nist Categorization Type: Function
PROTECT (PR)

The Protect Function outlines appropriate safeguards to ensure delivery of critical infrastructure services. The Protect Function supports the ability to limit or contain the impact of a potential cybersecurity event.",49
DETECT,DE,The Detect Function defines the appropriate activities to identify the occurrence of a cybersecurity event. The Detect Function enables timely discovery of cybersecurity events.,,,Function,"Nist Categorization Type: Function
DETECT (DE)

The Detect Function defines the appropriate activities to identify the occurrence of a cybersecurity event. The Detect Function enables timely discovery of cybersecurity events.",43
RESPOND,RS,The Respond Function includes appropriate activities to take action regarding a detected cybersecurity incident. The Respond Function supports the ability to contain the impact of a potential cybersecurity incident.,,,Function,"Nist Categorization Type: Function
RESPOND (RS)

The Respond Function includes appropriate activities to take action regarding a detected cybersecurity incident. The Respond Function supports the ability to contain the impact of a potential cybersecurity incident.",48
RECOVER,RC, The Recover Function identifies appropriate activities to maintain plans for resilience and to restore any capabilities or services that were impaired due to a cybersecurity incident. The Recover Function supports timely recovery to normal operations to reduce the impact from a cybersecurity incident.,,,Function,"Nist Categorization Type: Function
RECOVER (RC)

 The Recover Function identifies appropriate activities to maintain plans for resilience and to restore any capabilities or services that were impaired due to a cybersecurity incident. The Recover Function supports timely recovery to normal operations to reduce the impact from a cybersecurity incident.",61
Asset Management,ID.AM,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",,IDENTIFY,Category,"Nist Categorization Type: Category
Asset Management (ID.AM)

The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.
Related to: IDENTIFY",66
Business Environment,ID.BE,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",,IDENTIFY,Category,"Nist Categorization Type: Category
Business Environment (ID.BE)

The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.
Related to: IDENTIFY",61
Governance,ID.GV,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",,IDENTIFY,Category,"Nist Categorization Type: Category
Governance (ID.GV)

The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.
Related to: IDENTIFY",63
Risk Assessment,ID.RA,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",,IDENTIFY,Category,"Nist Categorization Type: Category
Risk Assessment (ID.RA)

The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.
Related to: IDENTIFY",53
Risk Management Strategy,ID.RM,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",,IDENTIFY,Category,"Nist Categorization Type: Category
Risk Management Strategy (ID.RM)

The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.
Related to: IDENTIFY",53
Access Control,PR.AC,"Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.",,PROTECT,Category,"Nist Categorization Type: Category
Access Control (PR.AC)

Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.
Related to: PROTECT",48
Awareness and Training,PR.AT,"The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.",,PROTECT,Category,"Nist Categorization Type: Category
Awareness and Training (PR.AT)

The organization’s personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.
Related to: PROTECT",64
Data Security,PR.DS,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",,PROTECT,Category,"Nist Categorization Type: Category
Data Security (PR.DS)

Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.
Related to: PROTECT",53
Information Protection Processes and Procedures,PR.IP,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",,PROTECT,Category,"Nist Categorization Type: Category
Information Protection Processes and Procedures (PR.IP)

Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.
Related to: PROTECT",67
Maintenance,PR.MA,Maintenance and repairs of industrial control and information system components is performed consistent with policies and procedures.,,PROTECT,Category,"Nist Categorization Type: Category
Maintenance (PR.MA)

Maintenance and repairs of industrial control and information system components is performed consistent with policies and procedures.
Related to: PROTECT",43
Protective Technology,PR.PT,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",,PROTECT,Category,"Nist Categorization Type: Category
Protective Technology (PR.PT)

Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.
Related to: PROTECT",51
Anomalies and Events,DE.AE,Anomalous activity is detected in a timely manner and the potential impact of events is understood.,,DETECT,Category,"Nist Categorization Type: Category
Anomalies and Events (DE.AE)

Anomalous activity is detected in a timely manner and the potential impact of events is understood.
Related to: DETECT",46
Security Continuous Monitoring,DE.CM,The information system and assets are monitored at discrete intervals to identify cybersecurity events and verify the effectiveness of protective measures.,,DETECT,Category,"Nist Categorization Type: Category
Security Continuous Monitoring (DE.CM)

The information system and assets are monitored at discrete intervals to identify cybersecurity events and verify the effectiveness of protective measures.
Related to: DETECT",47
Detection Processes,DE.DP,Detection processes and procedures are maintained and tested to ensure timely and adequate awareness of anomalous events.,,DETECT,Category,"Nist Categorization Type: Category
Detection Processes (DE.DP)

Detection processes and procedures are maintained and tested to ensure timely and adequate awareness of anomalous events.
Related to: DETECT",46
Response Planning,RS.RP,"Response processes and procedures are executed and maintained, to ensure timely response to detected cybersecurity events.",,RESPOND,Category,"Nist Categorization Type: Category
Response Planning (RS.RP)

Response processes and procedures are executed and maintained, to ensure timely response to detected cybersecurity events.
Related to: RESPOND",42
Communications,RS.CO,"Response activities are coordinated with internal and external stakeholders, as appropriate, to include external support from law enforcement agencies.",,RESPOND,Category,"Nist Categorization Type: Category
Communications (RS.CO)

Response activities are coordinated with internal and external stakeholders, as appropriate, to include external support from law enforcement agencies.
Related to: RESPOND",46
Analysis,RS.AN,Analysis is conducted to ensure adequate response and support recovery activities.,,RESPOND,Category,"Nist Categorization Type: Category
Analysis (RS.AN)

Analysis is conducted to ensure adequate response and support recovery activities.
Related to: RESPOND",35
